,acousticness,danceability,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,duration_ms,name,popularity
1789,0.0192,0.67,0.829,7BNDyzwDboNRR2wmd7GSew,0.000225,5,0.089,-7.2,0,0.0427,125.01,0.349,214205,Of The Night,64
1790,0.19,0.505,0.71,3LlAyCYU26dvFZBDUIMb7a,0.00025,3,0.329,-3.015,1,0.0321,89.938,0.428,175200,Demons,73
1791,0.00188,0.658,0.709,3GfOAdcoc3X5GPiiXmpBjK,0.00447,8,0.0657,-6.736,1,0.0904,129.699,0.855,121880,Song 2,63
1792,0.078,0.54,0.804,5nWbbQ0sIEabqPxAdqmh66,0.171,2,0.115,-7.112,1,0.0425,129.088,0.347,234680,Sweet Disposition,10
1793,5.69e-05,0.415,0.867,07q6QTQXyPRCf7GbLakRPr,0.000192,11,0.0883,-5.497,0,0.0387,157.902,0.36,249986,Everlong,60
1795,0.178,0.687,0.651,4gNErDjikE9QUQvkkqoB1S,0.00879,0,0.149,-6.696,1,0.0255,119.937,0.514,242346,Blue Moon,53
1796,0.00417,0.356,0.872,3dOAXUx7I1qnzWzxdnsyB8,0.00975,2,0.0997,-7.837,1,0.068,166.3,0.607,193653,Lonely Boy,65
1798,0.514,0.853,0.542,3SrS38PBz2nk3leXnZ2jX4,0.000283,0,0.0842,-6.684,1,0.0345,129.032,0.726,238800,Somebody that I Used to Know,1
1799,0.0142,0.316,0.769,4o0NjemqhmsYLIMwlcosvW,0.0,0,0.0928,-5.283,0,0.0422,122.507,0.127,321146,The Funeral,44
1801,0.607,0.598,0.56,4nOi8Y22QaxmAEkIrpb5Fv,0.0432,0,0.196,-11.679,1,0.0375,115.01,0.221,279000,Stubborn Love,8
1802,0.00836,0.818,0.705,0d28khcov6AiegSCpG5TuT,0.00233,6,0.613,-6.679,1,0.177,138.559,0.772,222640,Feel Good Inc,79
1803,0.142,0.644,0.811,7psPPGwhFzP3pyOcb3ivcT,0.000629,11,0.169,-7.681,1,0.0499,154.903,0.831,202666,Unbelievers,62
1804,0.0046,0.496,0.863,2nLtzopw4rPReszdYBJU6h,0.0,9,0.639,-4.153,1,0.0381,110.018,0.243,185586,Numb,81
1806,0.00576,0.75,0.462,3ctoHckjyd13eBi2IDw2Ip,0.545,0,0.307,-7.664,1,0.0779,123.865,0.309,231800,Seven Nation Army,17
1807,0.127,0.502,0.417,0c4IEciLCDdXEhhKxj4ThA,0.00419,10,0.106,-7.665,1,0.0718,180.301,0.218,281040,Madness,70
1808,0.0021,0.592,0.767,34KTEhpPjq6IAgQg2yzJAL,0.00165,9,0.127,-2.788,0,0.027,96.483,0.328,329733,Californication,63
1809,0.00076,0.451,0.931,1jJci4qxiYcOHhQR247rEU,0.0049,9,0.361,-3.871,1,0.0719,122.961,0.172,302840,Kids,76
1810,0.000759,0.411,0.888,20B9NtA8clQJuTebpZWZvC,0.0,6,0.194,-4.337,0,0.0331,174.567,0.688,259959,Wonderwall,45
1811,0.0338,0.566,0.755,4Sfa7hdVkqlM8UW5LsSY3F,0.0,11,0.315,-5.526,1,0.0368,101.006,0.445,264493,Take a Walk,67
1812,0.0236,0.658,0.93,1RJZLVGpBG9nNZiHRQSWTp,0.0,5,0.578,-2.912,0,0.141,104.018,0.132,237680,Recess,60
1813,0.0103,0.542,0.853,60a0Rd6pjrkxjPbaKzXjfq,0.0,3,0.108,-6.407,0,0.0498,105.256,0.37,216933,In The End,82
1816,0.00172,0.542,0.905,0ntQJM78wzOLVeCUAW7Y45,0.0104,9,0.136,-5.653,1,0.054,153.398,0.374,203346,Sex on Fire,79
1817,2.86e-05,0.516,0.906,5ghIJDpPoe3CfHMGu71E6T,0.000101,1,0.105,-4.525,1,0.0658,116.775,0.728,301920,Smells Like Teen Spirit,74
1818,0.0145,0.716,0.972,6VRhkROS2SZHGlp0pxndbJ,3.22e-05,7,0.317,-2.302,1,0.196,110.026,0.576,215253,Bangarang (feat. Sirah),72
1819,0.00108,0.33,0.936,7oK9VyNzrYvRFo7nQEYkWN,0.0,1,0.0926,-3.66,1,0.0917,148.112,0.234,222586,Mr. Brightside,78
1820,0.0636,0.587,0.918,2oTdiDj4AawNeeYFz8bipG,0.0,4,0.267,-4.878,0,0.0581,134.055,0.629,240746,Things We Lost In The Fire,51
1821,0.0422,0.775,0.585,2cGxRwrMyEAp8dEbuZaVv6,0.619,10,0.077,-9.516,0,0.0271,109.942,0.518,337560,Instant Crush,73
1822,0.0178,0.672,0.738,6t6oULCRS6hnI7rm0h5gwl,6.75e-05,0,0.0927,-7.045,1,0.0506,107.938,0.392,277040,Some Nights,69
1823,0.145,0.733,0.71,7w87IxuO7BDcJ3YUqCyMTT,0.115,5,0.0956,-5.849,0,0.0292,127.975,0.965,239600,Pumped Up Kicks,82
1825,0.00193,0.603,0.687,5zwtK7TjoKdRCS3NloH4g5,0.477,7,0.0676,-5.578,1,0.0374,140.042,0.234,116049,Silver Scrapes (As Featured in League of Legends Season 2 World Championship),0
1826,0.000904,0.519,0.97,64tUOtVFZN98cx48rQEW5T,2.81e-05,4,0.119,-3.252,0,0.126,97.836,0.187,181333,A Urgência,36
1829,0.00125,0.336,0.996,3RDZTFpR9yUQK5i7388iDf,0.0,5,0.372,-3.432,0,0.158,101.254,0.418,171426,912 Passos,30
1831,0.0146,0.738,0.614,3KWavdcNkuCYvgJaRABYAD,0.0,3,0.102,-3.761,1,0.0318,110.025,0.434,231173,Won't Go Home Without You,41
1832,0.00501,0.805,0.852,0UWGKR6b4nJCvK7Q1yjgjh,0.000343,7,0.0599,-2.431,1,0.0363,113.999,0.881,211080,Makes Me Wonder,42
1833,0.000315,0.703,0.81,0RZyUsKfiC7MtiGKatCtGc,0.0,4,0.216,-4.874,0,0.0424,102.978,0.726,216200,Misery,61
1834,0.0558,0.665,0.892,3UKMM2osZAHdHSLvWF8TUc,0.0,1,0.0465,-4.806,0,0.0562,149.861,0.962,173693,Harder To Breathe,8
1835,0.0591,0.748,0.788,494OU6M7NOf4ICYb4zWCf5,0.0,1,0.0863,-7.055,1,0.0334,120.076,0.884,235493,Sugar,67
1836,0.0205,0.742,0.713,5rwdhliMmo0aAQ08vU0AOZ,0.0,1,0.059,-5.522,0,0.0303,120.032,0.879,189960,Maps,62
1837,0.000932,0.513,0.877,2tD8PDBMlo9xTo3JC8kz90,0.000163,8,0.136,-3.756,1,0.0292,145.919,0.389,258920,Photograph,52
1838,0.0459,0.616,0.91,2cKCSngj4rdMI9K1deFJOe,0.0,0,0.343,-3.004,1,0.0386,144.073,0.693,252040,Rockstar,49
1839,0.00122,0.494,0.811,421g9amcUikSqmfuG8EwON,0.0,11,0.0687,-5.144,1,0.202,176.091,0.818,145266,Cousins,53
1840,0.0102,0.551,0.821,5dKBaysNJtfpyNTRa5lqDb,0.0438,2,0.153,-4.489,1,0.0539,174.923,0.842,137760,A-Punk,69
1841,0.0339,0.356,0.913,1WYEDcS7WGjv0rG7rmMX3o,0.0,9,0.221,-6.015,1,0.0499,171.157,0.537,359546,Bitter Sweet Symphony,62
1842,0.414,0.398,0.547,0ZSmRnXnP5fdANtVlCok1g,0.00143,0,0.146,-6.846,1,0.0261,73.396,0.305,230880,Look What You've Done,60
1844,0.00135,0.501,0.76,216S5ED9SNRWaHWVjSJGyX,0.000458,0,0.0854,-6.095,1,0.0295,94.03,0.476,216520,Everybody's Changing,20
1846,0.0575,0.445,0.59,5LOaKdW9D2Gl9neAN94NbR,1.08e-05,9,0.0832,-6.747,1,0.0258,172.016,0.334,237546,Somewhere Only We Know,27
1855,0.0334,0.397,0.803,0qksx8mV28lztYIZ1om8ml,0.0,4,0.0688,-6.186,1,0.0488,116.707,0.286,304200,Shiver,66
1860,0.01,0.419,0.773,6WF4hzdGXvXd1joERSXJjm,0.00418,10,0.269,-6.187,1,0.0305,89.954,0.274,242253,Hurts Like Heaven,59
1861,0.00385,0.425,0.69,4HXOBjwv2RnLpGG4xWOO6N,0.0154,0,0.287,-6.221,1,0.0351,84.99,0.233,239215,Princess of China,66
1862,0.599,0.577,0.749,0BCPKOYdS2jbQ8iyB56Zns,0.0112,5,0.183,-7.215,0,0.0279,130.969,0.261,307879,Clocks,74
1863,0.0262,0.738,0.483,23khhseCLQqVMCIT1WMAns,0.616,6,0.106,-8.915,0,0.0403,93.458,0.355,285014,Magic,73
1864,0.0941,0.485,0.619,1mea3bSkSGXuIRvnydlB5b,3.31e-06,5,0.109,-7.115,0,0.0289,138.017,0.416,242373,Viva La Vida,78
1865,0.0522,0.449,0.585,6nek1Nin9q48AVZcWs9e9D,8.49e-05,5,0.0833,-6.762,1,0.0268,139.627,0.203,278719,Paradise,78
1866,0.00239,0.429,0.661,3AJwUDP919kvQ9QcozQPxg,0.00013,11,0.234,-7.227,1,0.0281,173.365,0.285,266773,Yellow,80
1867,0.163,0.209,0.418,7LVHVU3tWfcxj5aiPFEW4Q,0.00195,3,0.113,-8.74,1,0.0338,138.265,0.123,295533,Fix You,81
1868,0.727,0.56,0.442,75JFxkI2RXiU7L9VXzMkle,1.71e-05,5,0.11,-7.224,1,0.0243,146.448,0.212,309600,The Scientist,84
1870,0.00713,0.551,0.636,0FDzzruyVECATHXKHFs9eJ,0.00203,6,0.217,-7.125,1,0.0281,124.996,0.153,268466,A Sky Full of Stars,76
1871,0.0138,0.567,0.813,6D5pfooPP6hi99RaXjkDsP,9.03e-06,1,0.125,-5.744,0,0.0581,126.044,0.114,214912,Summertime Sadness [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Remix,24
1872,0.0197,0.399,0.787,2s1sdSqGcKxpPr5lCl7jAV,6.07e-05,1,0.0685,-2.88,1,0.0499,117.089,0.572,216120,Chandelier,71
1873,0.0445,0.427,0.817,0aASUtDb1N96NJDwmWj5Gf,1.67e-05,3,0.0801,-5.196,1,0.0385,148.234,0.458,212200,Anna Júlia,62
1875,0.0117,0.421,0.791,6kwAbEjseqBob48jCus7Sz,1.48e-05,9,0.146,-4.998,1,0.0496,130.075,0.499,257200,Elastic Heart,73
1876,0.023,0.633,0.95,23K2pVDTXadG5Rc8H8l0e9,0.91,0,0.0745,-4.702,1,0.106,127.027,0.829,210066,Smooth Criminal,44
1879,0.000976,0.51,0.886,5PO56MKO8gMq1PSwWdeAA7,0.916,1,0.105,-7.398,1,0.0652,170.055,0.227,134941,Welcome to Planet Urf,44
1880,0.000728,0.434,0.884,32IMcJ5pQ71rOFD0bIdneJ,0.00458,7,0.105,-7.128,0,0.093,180.029,0.191,154960,Get Jinxed,60
1885,0.00225,0.535,0.948,0S7zL7ae0KpOSPKeFQpHo8,0.0,6,0.376,-4.19,0,0.0356,103.183,0.778,173680,I Bet You Look Good On The Dancefloor,12
1886,0.00196,0.647,0.818,02Y78WneC8bUaKWouKl00v,3.04e-05,6,0.177,-5.222,0,0.0291,112.109,0.813,177534,Fluorescent Adolescent,0
1887,0.0102,0.593,0.861,1F9OFHvZ2FSuAEVCbTJPdc,0.000851,6,0.107,-4.559,0,0.0341,170.009,0.818,177746,Restless,1
1888,8.55e-06,0.237,0.88,64N8jkSty7HGSpwRm6RKrD,0.84,0,0.085,-3.945,1,0.0505,130.144,0.309,210067,Best of Friends,41
1889,0.00147,0.216,0.882,7vhlwjoNX2gsC4YF1wnUmX,0.0,11,0.308,-5.176,0,0.0439,189.286,0.656,193426,From The Ritz To The Rubble,3
1890,0.0288,0.634,0.599,7iqTu4OPL3KYs4FMdtLZsy,0.0,2,0.197,-5.447,1,0.0365,112.215,0.312,175440,Mardy Bum,7
1891,0.00114,0.447,0.9,5MjxA0iKBexRxwVfDDrdnt,0.00596,5,0.47,-6.741,1,0.0578,135.861,0.39,199733,Hate To Say I Told You So,4
1892,0.0236,0.707,0.566,0WF700uCpY2mQM5CUKuZ6H,0.0,2,0.183,-6.993,1,0.0501,90.03,0.489,207360,Arabella,39
1893,0.00758,0.548,0.809,2MTAH2XxKHQVkVOyrMLAYG,0.000203,9,0.0995,-6.802,0,0.0418,114.982,0.323,196493,Wraith,38
1894,0.000224,0.323,0.949,5dJJnW69ejYOfuntLuLJft,1.34e-06,1,0.365,-4.429,0,0.0565,166.375,0.385,241320,In One Ear,50
1895,0.00998,0.454,0.778,5vefQfYc9Oxn8VHfgUCi1q,0.0,9,0.0427,-4.225,1,0.0449,127.158,0.704,177946,Fake Tales Of San Francisco,3
1896,0.0178,0.512,0.882,43KuVnM5VGa8nb7K8H3ZJQ,0.000214,4,0.279,-4.434,0,0.0506,106.811,0.617,223183,Crying Lightning,0
1897,0.000372,0.631,0.975,6EyZSBjKx1dC973sNtXJKf,0.000192,9,0.0734,-3.296,1,0.0974,150.236,0.794,163173,Teddy Picker,0
1898,3.03e-05,0.352,0.866,0KNVDEeZWXZPIYKqJeRRpX,2.92e-05,2,0.295,-3.274,1,0.0392,165.209,0.544,174013,If You Wanna,64
1899,0.137,0.669,0.54,0pKrMTlDlW54abYkdBsgxj,0.00374,11,0.339,-8.322,0,0.0339,97.993,0.549,257573,Knee Socks,35
1900,7.32e-05,0.402,0.902,77GZxme1GMNbbooEH8nHNX,0.00465,5,0.261,-4.115,1,0.0469,136.883,0.569,174453,Post Break-Up Sex,58
1901,0.00142,0.459,0.708,3smAYCIyUKT0uiw4HMpIJl,4.44e-06,6,0.485,-6.167,0,0.0681,108.952,0.583,211040,Tighten Up,58
1903,0.000669,0.599,0.946,3YiUcL1SQzCweJj8XfxOur,0.0,8,0.0973,-4.192,1,0.0378,108.934,0.653,173666,Still Take You Home,2
1906,0.00328,0.522,0.889,6Iz0GanKO6r5JSL7FX7ChL,0.0,1,0.345,-4.137,1,0.0461,144.499,0.852,141133,Dancing Shoes,4
1907,0.0823,0.54,0.615,0JUXdAzpV5cTNx0sH9g5Tt,0.779,1,0.0974,-9.064,0,0.0335,100.157,0.596,283541,Dance Little Liar,0
1922,0.0159,0.718,0.691,0pjjdauz55YnSJ8OsQKI3P,0.0,4,0.0627,-6.44,1,0.0387,100.008,0.552,213106,Gives You Hell,5
1923,0.0506,0.463,0.857,7j31rVgGX9Q2blT92VBEA0,0.0,4,0.184,-3.063,1,0.0632,111.647,0.856,161920,Teenagers,74
1924,0.000264,0.411,0.986,5BB0Jzw60KyfSTyjJqtely,0.00148,8,0.371,-2.522,0,0.0583,165.981,0.649,205960,Na Na Na [Na Na Na Na Na Na Na Na Na],66
1925,0.000233,0.606,0.942,1mX6SYJ1ZpcoxQUiER8wOI,7.07e-06,2,0.106,-3.618,1,0.0357,110.98,0.373,270386,SING,57
1926,0.0142,0.356,0.96,5dTHtzHFPyi8TlTtzoz1J9,0.0,4,0.209,-3.487,1,0.104,125.921,0.0857,204733,Helena (So Long & Goodnight),70
1927,0.000844,0.383,0.975,02w37b8gkTs37tpdO39ioa,0.0,1,0.36,-3.322,0,0.123,196.033,0.364,188026,Bem-Vindo Ao Clube,20
1934,0.144,0.452,0.563,7JIuqL4ZqkpfGKQhYlrirs,0.0,4,0.143,-6.607,1,0.0272,137.715,0.209,267653,The Only Exception,69
1935,0.00019,0.417,0.945,63L9AjBDN3SOMbJlBkFqiZ,8.63e-05,8,0.2,-3.703,1,0.0805,164.997,0.607,230440,Careful,55
1936,0.000218,0.631,0.793,3VA4sjTMSTTF02hFGmlpJh,5.65e-05,1,0.0976,-4.086,0,0.0468,136.96,0.648,189373,crushcrushcrush,61
1937,9.56e-05,0.436,0.942,1a9YW7fATU351ok4zWjU7a,0.000438,9,0.209,-2.206,1,0.0496,164.975,0.5,253946,Brick By Boring Brick,62
1938,2.87e-05,0.413,0.969,04BSvYghzdxjSJNpee36er,0.000753,4,0.371,-2.599,0,0.119,164.999,0.374,198762,Monster,58
1949,0.00461,0.498,0.83,6rUp7v3l8yC4TKxAAR5Bmx,0.0,6,0.139,-5.157,0,0.0421,89.342,0.453,231480,I Hate Everything About You,73
1950,0.025,0.468,0.859,6A1yZW5SLd9hpLZsG29hCQ,0.0,1,0.103,-4.855,0,0.0366,92.048,0.531,243053,Let Me Go,52
1952,0.00995,0.477,0.696,135cNW8kQtiTId7qcsJfVC,0.0,10,0.128,-4.427,0,0.0273,143.989,0.182,235640,Here Without You,60
1955,0.0585,0.563,0.864,6pIZ0u32c2Lku8PmCWtnMy,0.0,4,0.419,-4.066,0,0.0386,119.964,0.439,213423,King,20
1956,0.123,0.769,0.418,1DqLFLiQEIE48jCm5RXoRA,0.0,8,0.142,-14.419,1,0.0629,96.994,0.682,246828,No Sleep Till Brooklyn,10
1957,0.0891,0.617,0.533,1xPSDf8z4dH46gkvlLtvDO,4.04e-06,3,0.0415,-11.516,0,0.0651,158.86,0.835,244706,Maniac,69
1958,0.0122,0.502,0.967,624ra5mDiibqvFYDK4yhmo,8.22e-06,7,0.342,-4.14,1,0.0801,131.939,0.466,213333,Mulher de Fases,65
1962,0.0124,0.412,0.919,0tZ3mElWcr74OOhKEiNz1x,0.0601,5,0.424,-7.291,1,0.184,166.367,0.572,229466,Bulls On Parade,70
1963,0.015,0.586,0.967,1yPQEVh4z4davqR8Y9iDQT,1.61e-05,11,0.17,-4.894,1,0.236,103.537,0.476,207413,Guerilla Radio,3
1967,0.00497,0.32,0.943,5FdEl2UUaCaN2cC70TbLbx,0.192,6,0.0984,-5.789,0,0.126,166.524,0.49,178293,Sabotage - 2009 Digital Remaster,43
1968,0.0583,0.688,0.835,546QTayX6j4GcZsfTRrVnL,2.87e-06,8,0.0795,-4.162,1,0.0911,84.858,0.88,230493,Remember The Name (feat. Styles Of Beyond),51
1969,0.227,0.692,0.711,1TfqLAPs4K3s2rJMoCokcS,0.0,0,0.12,-7.498,0,0.0317,125.135,0.875,216933,Sweet Dreams (Are Made of This) - Remastered,81
1972,0.119,0.704,0.658,7qkkTuWEZ48GNArEMDU2sS,0.0,1,0.113,-7.851,1,0.0436,96.484,0.57,222093,Som Sincero,37
1974,0.00964,0.655,0.682,25dVcpCuWjlh1iHPfSdKMF,2.05e-05,11,0.104,-9.151,0,0.053,96.566,0.802,185234,A.C.H.T,24
1976,0.0642,0.552,0.575,2Ljt94ssJHBjGzy4IgEbrz,0.0,8,0.0709,-8.395,0,0.0464,79.877,0.516,220995,Lado Bê,31
1978,0.13,0.78,0.522,1xGSeqkRk551XdZynGRBx8,0.0,5,0.144,-7.937,0,0.0324,92.526,0.801,228884,Tragédia dos Comuns,27
1982,0.0616,0.467,0.774,1C2QJNTmsTxCDBuIgai8QV,0.289,9,0.108,-6.569,0,0.0485,135.006,0.0916,346693,Resistance,63
1987,0.000519,0.452,0.873,1TDk2Jmi4dVZhm2dum3Jim,0.0,9,0.0592,-4.867,1,0.0613,80.473,0.433,222026,Cochise,66
1993,0.0345,0.405,0.64,7qtco5OgqRk2ybSRKMnbSq,0.0038,2,0.108,-4.924,1,0.0271,145.882,0.127,293733,Little By Little,0
1994,0.257,0.553,0.719,4ht6XhgvGSkiB1foQmIqwY,0.000538,0,0.0764,-4.254,1,0.0479,167.69,0.327,185756,Monster (DotEXE Remix),0
1995,0.00718,0.225,0.948,14mqKOS4dHMf48spDuzfYv,0.0,9,0.25,-2.945,1,0.136,179.634,0.239,188186,I'm Not Okay (I Promise),50
1997,0.236,0.181,0.752,7L3ZztbqdEbKItCMELoMk5,0.0,9,0.125,-5.519,0,0.0699,144.766,0.0372,237066,The Ghost Of You,49
1999,0.0688,0.687,0.783,5KoSOyStzFgRHZ3xaU2NwA,0.0,8,0.112,-5.691,1,0.0844,152.02,0.413,307813,Enter The Ninja,6
2005,0.000185,0.279,0.742,16pwlVsypm4aDKMhXdOuXg,0.0,4,0.593,-6.46,0,0.0898,189.868,0.328,231013,Animals,66
2011,0.42,0.489,0.483,4S1VYqwfkLit9mKVY3MXoo,0.0028,9,0.236,-9.466,0,0.0275,136.822,0.333,226706,Forever Young,74
2012,0.215,0.585,0.557,04ZTb2W1P3i0aK4NaToOad,0.925,11,0.141,-15.476,0,0.0287,108.265,0.384,181213,If I Had A Heart,0
2019,0.00662,0.556,0.981,0EYOdF5FCkgOJJla8DI2Md,0.0,1,0.218,-2.688,0,0.128,101.423,0.716,255466,B.Y.O.B.,74
2023,0.00155,0.572,0.912,3yZQk5PC52CCmT4ZaTIKvv,1.2e-06,7,0.102,-4.875,1,0.0707,156.073,0.606,187186,This Is Gospel,74
2024,0.851,0.551,0.27,7gCeodIXjhCLDWC5H1LOmT,7.04e-06,3,0.0966,-12.808,1,0.0326,128.221,0.289,244226,Your Song,54
2025,0.000455,0.426,0.888,4OpmC94xXTITiYKfNJtHrb,0.0,0,0.306,-3.72,0,0.0987,144.111,0.387,191520,Throne,4
2026,0.000154,0.441,0.977,16RHXqV9K527pNj1v02PNC,0.000428,1,0.842,-3.575,0,0.112,143.023,0.389,221498,Drown,49
2050,0.015,0.607,0.913,07JAwmTGx5t3wU6iGbZqnG,0.118,11,0.164,-6.822,1,0.069,124.677,0.518,216453,Baby Blue,0
2058,0.234,0.819,0.768,1CvhKmrutTAta5awpJcFDn,0.0,8,0.334,-8.522,1,0.134,139.982,0.964,185131,Watch Me (Whip / Nae Nae),17
2059,0.184,0.827,0.576,6fQcqEcXfnY0L6VwS0c3gT,0.029,4,0.0656,-7.774,1,0.0372,118.04,0.41,180021,Cheerleader (Felix Jaehn Remix) - Radio Edit,62
2060,0.138,0.669,0.76,1O2DYAwaGNRkGPGKEGpxo5,0.0115,8,0.0876,-10.301,1,0.0344,133.7,0.591,207168,Fight For Your Right,15
2061,0.022,0.734,0.864,5fpizYGbi5IQoEraj6FP0R,9.94e-06,2,0.246,-6.119,1,0.303,105.933,0.47,231493,Intergalactic - Remastered,68
2062,0.0187,0.338,0.803,4IoYz8XqqdowINzfRrFnhi,0.0,8,0.136,-5.412,0,0.0413,151.994,0.4,241853,You Found Me,74
2066,0.0389,0.738,0.868,22mek4IiqubGD9ctzxc69s,0.00171,11,0.388,-4.373,0,0.0731,122.003,0.336,212640,How Deep Is Your Love,76
2067,0.00822,0.825,0.858,0p0KHvE29x9LoOsCbs25HD,2.2e-06,1,0.123,-1.976,1,0.0513,128.003,0.191,222133,Shots,11
2071,0.0139,0.565,0.764,7gozgbG5EBTukCFWToTRA5,0.00488,1,0.079,-9.43,1,0.0351,100.891,0.686,277480,I Still Haven't Found What I'm Looking For - Remastered 2007,28
2072,0.142,0.649,0.474,7kCrYUDtWsPldohOKPTKPL,0.0,8,0.117,-8.564,0,0.0302,121.051,0.348,221200,Ordinary Love,59
2073,0.00574,0.499,0.871,7uNvKuQZ40q2Qv3itfQDSi,0.00239,2,0.105,-4.75,1,0.0366,125.778,0.301,286480,Where The Streets Have No Name,11
2074,0.256,0.511,0.536,3PKtemUKxiDBvBo7tpQ8bG,0.00265,0,0.122,-8.661,1,0.0302,90.358,0.357,276186,One,26
2075,0.000138,0.416,0.819,5KKBsfzzXBE4MKwsFTShkH,0.00108,9,0.122,-3.974,1,0.0613,140.083,0.632,194520,Vertigo,4
2076,0.402,0.543,0.944,5gFkAC68P66ZNVKXKjYtDm,0.000564,6,0.0373,-7.495,1,0.0543,101.174,0.735,279440,Sunday Bloody Sunday - Remastered 2008,22
2077,0.0154,0.536,0.928,0gzqZ9d1jIKo9psEIthwXe,0.00134,11,0.2,-6.492,0,0.0589,136.258,0.389,248400,Beautiful Day,70
2080,0.000128,0.546,0.485,2JZfTvWWtpaE8NohqRXqFr,0.318,2,0.0939,-9.424,1,0.027,109.913,0.106,295200,With Or Without You,19
2092,0.000125,0.457,0.97,3w9TdBjPFimw3QSNOnBpV9,7.73e-06,5,0.233,-4.016,0,0.114,127.116,0.322,206706,We Are One,4
2097,0.0452,0.264,0.78,4juq76lIar8YWOLpYMXUAG,0.0222,0,0.376,-2.741,1,0.0517,155.376,0.456,280466,Joker And The Thief,17
2104,0.0444,0.615,0.711,2zJZwWF7BTGIIvrAlgzJEx,0.0,11,0.145,-5.507,1,0.0779,144.036,0.711,221253,Whatcha Say,63
2109,0.0603,0.345,0.581,1ZqHjApl3pfzwjweTfMi0g,0.00127,1,0.115,-7.875,0,0.0369,76.022,0.108,222653,Violet Hill,61
2110,0.0132,0.421,0.822,7sziTn5nHwrWf4K7gISaaU,0.0,2,0.092,-4.415,1,0.0542,171.935,0.751,234786,Summer Paradise - feat. Sean Paul,61
2111,0.00345,0.657,0.927,3k4NN1toPhPi7idAtJSrHZ,0.00288,4,0.176,-3.398,0,0.077,130.935,0.595,201960,Bodies,2
2112,0.155,0.792,0.506,1U5zdT78JN2K5PPJEgyoLG,0.00541,9,0.212,-13.576,1,0.0326,104.397,0.906,208360,Meu Erro - 1990 Digital Remaster,44
2114,0.00545,0.339,0.839,35xAZwCzE58O6EXbzgTSxc,8.15e-05,1,0.0739,-4.41,1,0.0488,82.53,0.145,301941,And The Snakes Start To Sing,52
2115,0.00283,0.217,0.787,3cJP8wmNuRkq58Z2cQPB81,0.00504,9,0.0775,-5.579,0,0.0596,132.964,0.0721,404257,Hospital For Souls,52
2121,4.02e-05,0.295,0.924,5u8kjTQnxKmETA86YLIdOh,0.00462,5,0.377,-3.407,1,0.0678,171.941,0.219,239386,Happy Song,0
2122,0.445,0.6,0.467,2IQvTnOS1sicZ3plBZL6KR,0.0,8,0.321,-9.056,1,0.0274,117.121,0.583,230133,Over My Head (Cable Car) [Acoustic] - Live,55
2124,0.568,0.23,0.492,57uX2vR9j9DNiANDYfXw1i,8.18e-06,8,0.176,-5.767,1,0.0317,160.139,0.262,256613,Never Say Never,68
2126,0.022,0.592,0.729,1N62wozuHCvczCkY4QidpP,0.0,8,0.0653,-4.156,1,0.0448,116.03,0.709,236266,Over My Head (Cable Car),70
2128,0.269,0.64,0.743,5fVZC9GiM4e8vu99W0Xf6J,0.0,10,0.101,-4.08,1,0.0379,122.035,0.361,262533,How to Save a Life,81
2143,0.00316,0.483,0.786,4DMKwE2E2iYDKY01C335Uw,8.86e-05,7,0.446,-5.735,1,0.0319,126.748,0.793,323000,Carry on Wayward Son,73
2144,0.215,0.353,0.82,7trg1faBmQrr7zxr4U7SOr,0.0454,0,0.157,-5.303,1,0.041,158.024,0.474,209973,Syndicate,49
2146,0.00124,0.468,0.878,3aJ8OhUeCybCDo2qdYfwDr,0.0,5,0.0734,-3.434,1,0.0522,156.049,0.186,221613,Hold My Hand,46
2148,0.0575,0.447,0.592,5l6hpyTGBK0LAAxgPnqTQL,4.47e-06,6,0.13,-3.015,0,0.0319,78.039,0.283,266773,Look After You,64
2150,0.0095,0.632,0.805,6IDDwI0YOCAUDhMZltQekS,0.0,11,0.197,-4.488,0,0.0303,115.489,0.275,183093,Love Don't Die,54
2152,0.015,0.51,0.938,5ADxB7q9elLz77VKMeYWFt,0.0,8,0.168,-3.711,1,0.133,150.03,0.621,265867,Stayin Out All Night - Boys of Zummer Remix,43
2155,0.262,0.475,0.651,4FcDkNGPuuU8AtbR51QX5P,0.0107,11,0.0995,-7.486,0,0.0581,151.533,0.844,182853,You're So Dark,19
2156,0.0016,0.479,0.752,1YgigXXrwNXR4vhnOqtG7C,1.78e-05,4,0.0599,-4.99,0,0.0793,175.997,0.741,197373,Evil Twin,0
2161,0.031,0.516,0.749,0VYQK5I08homNvX8SRS37R,0.0,5,0.205,-4.091,1,0.0692,125.92,0.356,209866,Heroes (we could be),17
2162,0.00446,0.455,0.764,1Nuqm2gavvcmZtEFWvbDbK,0.0,2,0.105,-5.633,1,0.0327,74.021,0.359,260506,When I'm Gone,14
2164,0.0353,0.713,0.781,5x9VIW2fS21JMswOt6AORI,0.0,1,0.155,-4.859,1,0.121,102.078,0.8,175333,Classic,63
2167,0.79,0.574,0.486,74lPucESMXF7QAYNbSFdJa,1.31e-05,9,0.102,-9.074,1,0.0444,90.039,0.633,181760,All Star,42
